Member ID,Gender,Commenced Date,Concluded Date,Membership Length Days,Membership Length Months,Month of Join,Month of Churn,Membership Name,Status,Birth date,Age,Churn Flag,Age Group,Membership Length Group,,,,,Active Member average length days,Lost Member average length days
1101,F,02/20/2026,3/26/2026,48,1,02,,Single Yearly Membership,Active,09/25/1950,75,0,50+,,,,,,276.76,197.03
1102,M,03/23/2026,3/26/2026,17,0,03,,Monthly recurring,Active,05/26/1989,36,0,Thirties,,,,Vlookup reference,,,
1103,M,03/20/2026,3/26/2026,20,0,03,,Monthly recurring,Active,12/17/1982,43,0,Fourties,,,,10,Twenties,,
1104,B,03/09/2026,3/26/2026,31,0,03,,Couples membership,Active,12/14/1987,38,0,Thirties,,,,30,Thirties,,
1105,M,03/06/2026,3/26/2026,34,0,03,,Monthly recurring,Active,12/03/2006,19,0,Twenties,,,,40,Fourties,,
1106,M,03/06/2026,3/26/2026,34,0,03,,Monthly recurring,Active,10/06/1978,47,0,Fourties,,,,50,50+,,
1107,F,03/05/2026,3/26/2026,35,0,03,,Monthly recurring,Active,01/13/1998,28,0,Twenties,,,,,,,
1108,F,02/23/2026,3/26/2026,45,1,02,,Monthly recurring,Active,08/13/2002,23,0,Twenties,,,,,,,
1109,B,03/20/2026,3/26/2026,20,0,03,,Household Membership,Active,07/30/1996,29,0,Twenties,,,,,,,
1110,B,02/12/2026,3/26/2026,56,1,02,,Couples membership,Active,08/14/1979,46,0,Fourties,,,,,,,
1111,M,02/09/2026,3/26/2026,59,1,02,,Monthly recurring,Active,10/06/1968,57,0,50+,,,,churn rate ,,,
1112,F,01/12/2026,3/26/2026,87,2,01,,Monthly recurring,Active,03/28/1976,50,0,50+,,,,67,0.4855072464,,
1113,M,01/07/2026,3/26/2026,92,2,01,,Monthly recurring,Active,01/15/1977,49,0,Fourties,,,,,,,
1114,F,01/05/2026,3/26/2026,94,2,01,,Monthly recurring,Active,01/16/2001,25,0,Twenties,,,,Churn first 6 months ,,,
1115,F,01/05/2026,3/26/2026,94,2,01,,Monthly recurring,Active,06/21/1995,30,0,Thirties,,,,44,,33,
1116,M,01/02/2026,3/26/2026,97,2,01,,Monthly recurring,Active,12/16/2003,22,0,Twenties,,,,,,,
1117,M,12/16/2025,3/26/2026,114,3,12,,Monthly recurring,Active,11/01/1994,31,0,Thirties,,,,0.6567164179,,,
1118,B,10/24/2025,3/26/2026,167,5,10,,Couples membership,Active,11/11/1999,26,0,Twenties,,,,,,,
1119,M,10/06/2025,3/26/2026,185,5,10,,Monthly recurring,Active,02/13/1999,27,0,Twenties,,,,,,,
1120,F,09/15/2025,3/26/2026,206,6,09,,Monthly recurring,Active,10/04/1972,53,0,50+,,,,,,,
1121,F,09/11/2025,3/26/2026,210,6,09,,Monthly recurring,Active,11/13/1965,60,0,50+,,,,,,,
1122,B,09/08/2025,3/26/2026,213,6,09,,Couples membership,Active,08/24/1959,66,0,50+,,,,,,,
1123,M,09/02/2025,3/26/2026,219,6,09,,Monthly recurring,Active,06/21/2005,20,0,Twenties,,,,,,,
1124,B,08/07/2025,3/26/2026,245,7,08,,Couples membership,Active,08/18/1962,63,0,50+,,,,,,,
1125,M,08/04/2025,3/26/2026,248,7,08,,Monthly recurring,Active,04/14/1980,45,0,Fourties,,,,,,,
1126,M,10/14/2025,3/26/2026,177,5,10,,Monthly recurring,Active,02/09/2005,21,0,Twenties,,,,,,,
1127,M,11/10/2025,3/26/2026,150,4,11,,Monthly recurring,Active,01/04/1977,49,0,Fourties,,,,,,,
1128,F,10/08/2025,3/26/2026,183,5,10,,Monthly recurring,Active,06/22/2005,20,0,Twenties,,,,,,,
1129,M,07/14/2025,3/26/2026,269,8,07,,Monthly recurring,Active,06/18/1986,39,0,Thirties,,,,,,,
1130,M,05/17/2025,3/26/2026,327,10,05,,Monthly recurring,Active,01/14/1999,27,0,Twenties,,,,,,,
1131,M,06/03/2025,3/26/2026,310,9,06,,Monthly recurring,Active,09/11/1973,52,0,50+,,,,,,,
1132,B,02/19/2026,3/26/2026,49,1,02,,Monthly recurring,Active,11/06/1987,38,0,Thirties,,,,,,,
1133,F,03/06/2025,3/26/2026,399,12,03,,Monthly recurring,Active,06/12/1970,55,0,50+,,,,,,,
1134,M,02/28/2025,3/26/2026,405,12,02,,Monthly recurring,Active,11/01/2004,21,0,Twenties,,,,,,,
1135,M,01/02/2026,3/26/2026,97,2,01,,Monthly recurring,Active,,,0,,,,,,,,
1136,F,12/08/2025,3/26/2026,122,3,12,,Tanning recurring membership,Active,10/01/1993,32,0,Thirties,,,,,,,
1137,M,09/29/2025,3/26/2026,192,5,09,,Monthly recurring,Active,06/29/2002,23,0,Twenties,,,,,,,
1138,M,12/30/2024,3/26/2026,465,14,12,,Monthly recurring,Active,05/23/1998,27,0,Twenties,,,,,,,
1139,F,02/06/2026,3/26/2026,62,1,02,,Monthly recurring,Active,09/08/1974,51,0,50+,,,,,,,
1140,B,12/19/2024,3/26/2026,476,15,12,,Couples membership,Active,,,0,,,,,,,,
1141,F,12/17/2024,3/26/2026,478,15,12,,Monthly recurring,Active,11/29/1961,64,0,50+,,,,,,,
1142,F,12/12/2024,3/26/2026,483,15,12,,Monthly recurring,Active,06/19/2000,25,0,Twenties,,,,,,,
1143,M,01/09/2025,3/26/2026,455,14,01,,Monthly recurring,Active,,,0,,,,,,,,
1144,M,12/03/2024,3/26/2026,492,15,12,,Monthly recurring,Active,02/08/1961,65,0,50+,,,,,,,
